Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Version Booster,Booster landing
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,"<td><a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>
</td>",Success,18 April 2014,19:25,,Success
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,"<td><a href=""/wiki/AsiaSat"" title=""AsiaSat"">AsiaSat</a>
</td>",Success,14 July 2014,15:15,,Success
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,5 August 2014,08:00,,Success
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,7 September 2014,05:00,F9 v1.1,Success
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a></li>
<li><a href=""/wiki/NASA"" title=""NASA"">NASA</a></li>
<li><a class=""mw-redirect"" href=""/wiki/NOAA"" title=""NOAA"">NOAA</a></li></ul>
</div>
</td>","Success
",21 September 2014,05:52,F9 v1.1,"Success
"
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a></li>
<li><a href=""/wiki/Eutelsat"" title=""Eutelsat"">Eutelsat</a></li></ul>
</div>
</td>","Success
",10 January 2015,09:47,F9 v1.1,"Success
"
15,Cape Canaveral,DSCOVR,570 kg,HEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",11 February 2015,23:03,F9 v1.1,"Success
"
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,"<td><a href=""/wiki/Turkmenistan_National_Space_Agency"" title=""Turkmenistan National Space Agency"">Turkmenistan National<br/>Space Agency</a><sup class=""reference"" id=""cite_ref-95""><a href=""#cite_note-95"">[88]</a></sup>
</td>","Success
",2 March 2015,03:50,F9 v1.1,"Success
"
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Failure,14 April 2015,20:10,F9 v1.1,Failure
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,"<td><a href=""/wiki/Orbcomm"" title=""Orbcomm"">Orbcomm</a>
</td>","Success
",27 April 2015,23:03,F9 v1.1,"Success
"
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Launch_Services_Program"" title=""Launch Services Program"">LSP</a>)</li>
<li><a class=""mw-redirect"" href=""/wiki/NOAA"" title=""NOAA"">NOAA</a></li>
<li><a href=""/wiki/CNES"" title=""CNES"">CNES</a></li></ul>
</div>
</td>","Success
",28 June 2015,14:21,F9 v1.1,"Success
"
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>","Success
",22 December 2015,01:29,F9 FT,"Success
"
21,VAFB,Jason-3,553 kg,LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>",Success,17 January 2016,18:42,F9 v1.1,Success
22,Cape Canaveral,SES-9,"5,271 kg",GTO,"<td><a href=""/wiki/SKY_Perfect_JSAT"" title=""SKY Perfect JSAT"">SKY Perfect JSAT Group</a>
</td>","Success
",4 March 2016,23:35,F9 FT,"Success
"
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,"<td><a href=""/wiki/Thaicom"" title=""Thaicom"">Thaicom</a>
</td>","Success
",8 April 2016,20:43,F9 FT,"Success
"
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a class=""mw-redirect"" href=""/wiki/Asia_Broadcast_Satellite"" title=""Asia Broadcast Satellite"">ABS</a></li>
<li><a href=""/wiki/Eutelsat"" title=""Eutelsat"">Eutelsat</a></li></ul>
</div>
</td>","Success
",6 May 2016,05:21,F9 FT,"Success
"
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",27 May 2016,21:39,F9 FT,"Success
"
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,"<td><a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">SKY Perfect JSAT Group</a>
</td>","Success
",15 June 2016,14:29,F9 FT,"Success
"
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",18 July 2016,04:45,F9 FT,"Success
"
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",14 August 2016,05:26,F9 FT,"Success
"
29,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>
</td>","Success
",14 January 2017,17:54,F9 FT,"Success
"
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,19 February 2017,14:39,F9 FT,Success
31,KSC,EchoStar 23,"5,600 kg",GTO,"<td><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>
</td>","Success
",16 March 2017,06:00,F9 FT,"Success
"
32,KSC,SES-10,"5,300 kg",GTO,"<td><a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>
</td>","Success
",30 March 2017,22:27,F9 FT♺,"Success
"
33,KSC,NROL-76,C,LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",1 May 2017,11:15,F9 FT,"Success
"
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,"<td><a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>
</td>","Success
",15 May 2017,23:21,F9 FT,"Success
"
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",3 June 2017,21:07,F9 FT,"Success
"
36,KSC,BulgariaSat-1,"3,669 kg",GTO,"<td><a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>
</td>","Success
",23 June 2017,19:10,F9 FTB1029.2,"Success
"
37,VAFB,Iridium NEXT,"9,600 kg",LEO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",25 June 2017,20:25,F9 FT,"Success
"
38,KSC,Intelsat 35e,"6,761 kg",GTO,"<td><a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>
</td>","Success
",5 July 2017,23:38,F9 FT,"Success
"
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,"<td><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>
</td>","Success
",14 August 2017,16:31,F9 B4,"Success
"
40,VAFB,Formosat-5,475 kg,SSO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>","Success
",24 August 2017,18:51,F9 FT,"Success
"
41,KSC,Boeing X-37B,"4,990 kg",LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a></li>
<li><a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a></li></ul>
</div>
</td>","Success
",7 September 2017,14:00,F9 B4,"Success
"
42,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>
</td>","Success
",9 October 2017,12:37,F9 B4,"Success
"
43,KSC,SES-11,"5,200 kg",GTO,"<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",11 October 2017,22:53:00,F9 FTB1031.2,"Success
"
44,KSC,Koreasat 5A,"3,500 kg",GTO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,30 October 2017,19:34,F9 B4,Success
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,"<td><a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a> <sup class=""reference"" id=""cite_ref-249""><a href=""#cite_note-249"">[f]</a></sup><sup class=""reference"" id=""cite_ref-zuma_246-2""><a href=""#cite_note-zuma-246"">[238]</a></sup>
</td>",Success,15 December 2017,15:36,F9 FTB1035.2,Success
46,VAFB,Iridium NEXT,"9,600 kg",Polar,"<td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>",Success,23 December 2017,01:27,F9 FTB1036.2,Success
47,CCAFS,Zuma,C,LEO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/Hisdesat"" title=""Hisdesat"">Hisdesat</a></li>
<li><a href=""/wiki/ExactEarth"" title=""ExactEarth"">exactEarth</a></li>
<li><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a></li></ul>
</div>
</td>",Success,8 January 2018,01:00,F9 B4,Success
48,CCAFS,GovSat-1,"4,230 kg",GTO,"<td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/Hispasat"" title=""Hispasat"">Hispasat</a><sup class=""reference"" id=""cite_ref-spx20150914_286-1""><a href=""#cite_note-spx20150914-286"">[277]</a></sup></li>
<li><a href=""/wiki/NovaWurks"" title=""NovaWurks"">NovaWurks</a></li></ul>
</div>
</td>",Success,31 January 2018,21:25,F9 FTB1032.2,Success
49,VAFB,Paz,"2,150 kg",SSO,"<td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>",Success,22 February 2018,14:17,F9 FTB1038.2,Success
